school,teamname,year_of_pub,acceptance_rate,top10pct,alumni_giving_rate,top25pct,usnews_score,usnews_academic_rep_old,sat_act_25_75,avg_sat_act,usnews_academic_rep_new,year,team,unitid,vseteamname,alumni_ops_academic,alumni_ops_faculty,alumni_ops_research,alumni_ops_libraries,alumni_ops_physical_plant,alumni_ops_student_aid,alumni_ops_athletics,alumni_ops_other,alumni_ops_total,alumni_donation_rate,alumni_ugrad_donation_rate,alumni_ops_donation_rate,alumni_solicit_rate,alumni_giving_as_share_of_total,alumni_of_record,alumni_donors,alumni_total_giving,ops_athletics_donors,ops_athletics_total_ath,capital_athletics_donors,capital_athletics_total,athletics_donors,athletics_total,corporations_total_giving,expenditures_per_student,foundations_total_giving,foundations_ops_athletics,foundations_ops_total,corporations_ops_athletics,corporations_ops_total,ops_athletics_total_grand,ops_total,total_giving_2004_onwards,total_giving_pre_2004,alumni_ops_pub_serv,corporations_total,foundations_total,appdate,applicants_male,applicants_female,admits_male,admits_female,enrolled_male,enrolled_female,satdate,satnum,satpct,actnum,actpct,satvr25,satvr75,satmt25,satmt75,actcm25,actcm75,acten25,acten75,actmt25,actmt75,name,city,state,fips,control,iclevel,black,asian,hispanic,vse_alum_giving_rate,first_time_students_missing,first_time_students_total,first_time_outofstate,first_time_instate
U. of Akron,Akron,1990,79,,,,,,,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UNIVERSITY OF AKRON, MAIN CAMPUS",AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,,,,,
U. of Akron,Akron,1991,77,,,,,,724-1074,,,1990,124,200800,"University of Akron (Akron, OH)",,,,,,,,,,,,,.9908492160634144,,68628,9749,1802521,,,,,,,2621438,,1486670,,,,,,,,7723177,,2621438,1486670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.14205572,,,,
,Akron,,,,,,,,,,,1991,124,200800,"University of Akron (Akron, OH)",,,,,,,,,,,,,1,,70000,10436,1505447,,,,,,,4084436,,422482,,,,,,,,8512164,,4084436,422482,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,.14908572,,,,
U. of Akron,Akron,1993,95,,16,,,,748-1074,,,1992,124,200800,"University of Akron (Akron, OH)",,,,,,,,,,,,,.7887323943661971,,71000,12250,1789551,,,,,,,4017577,,922911,,,,,,,,8131367,,4017577,922911,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,.17253521,,3453,80,3373
University of Akron,Akron,1994,82,,18,,,207,,911,,1993,124,200800,"University of Akron (Akron, OH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,,,,,
U. of Akron,Akron,1996,95,16,15,,,,19-24,,,1995,124,200800,"University of Akron (Akron, OH)",,,,,,,,,,,,,1,,55000,11591,5549000,,,,,,,4010000,,1400000,,,,,,,,12599000,,4010000,1400000,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),10,1,1,.21074545,,,,
Univ of Akron,Akron,1997,61,10,14,,,,,,,1996,124,200800,"University of Akron (Akron, OH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),11,2,1,,,2900,86,2814
Univ of Akron,Akron,1998,100,11,14,,,,17-23,,2.2,1997,124,200800,"University of Akron (Akron, OH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),12,2,1,,,,,
University of Akron,Akron,1999,100,13,12,,,,,,2.2,1998,124,200800,"University of Akron (Akron, OH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),12,2,1,,,3054,69,2985
University of Akron,Akron,2000,100,13,11,,,,17-24,,,1999,124,200800,"University of Akron (Akron, OH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. of Akron,Akron,2001,90,11,10,,,,,,2.2,2000,124,200800,"University of Akron (Akron, OH)",541507,,,11911,,82443,505779,82564,1232620,.074,.069,.066,.857,,125579,9239,4961000,1567,711780,24,,1591,,3614830,10350,1245300,7269,1102680,83545,2376170,711845,5768710,,15510900,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),14,2,1,.07357122,0,2916,75,2841
U. of Akron,Akron,2002,85,21,10,,,,,,2.3,2001,124,200800,"University of Akron (Akron, OH)",630165,,,10370,,292846,279831,239194,1519160,.086,.077,.063,.764,,129220,11081,4197070,1220,647150,16,,,,3460922,11194,1812851,12500,1009590,82021,2066987,572841,7292657,,26091254,,,,{Item not applicable},,,,,,,{Item not applicable},,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),14,2,1,.085752979,,,,
,Akron,,,,,,,,,,,2002,124,200800,"University of Akron (Akron, OH)",521413,,,16677,,451639,239812,132047,1427427,.085,.077,.059,.794,,132150,11217,5355749,1490,823640,18,,,,6665278,11146,2636900,23700,1709900,325104,1975687,701825,7265910,,22347403,,,,{Item not applicable},,,,,,,{Item not applicable},,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),13,2,1,.084880814,3117,3128,68,3060
U. of Akron,Akron,2004,71,8,11,,,,,,2.2,2003,124,200800,"University of Akron (Akron, OH)",750762,,,11138,,581738,188892,438329,2349792,.075,.074,.056,.7879999999999999,.249,125930,9405,5095217,1545,541949,16,61146,1561,603095,6914095,11975,2518239,44700,2418164,144510,2297909,492103,10439735,20423675,20423675,,,,{Item not applicable},,,,,,,{Item not applicable},,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,.074684352,,,,
U. of Akron,Akron,2005,86,11,11,,,,,,2.2,2004,124,200800,"University of Akron (Akron, OH)",956935,,,6333,,339467,356156,311258,2004084,.066,.064,.063,.845,.309,129094,8481,5371124,1815,918179,273,155161,2088,1073340,3909426,11159,4154454,129443,2128274,51645,2746874,863938,8517111,17397297,17397297,,,,{Item not applicable},,,,,,,{Item not applicable},,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,.065696314,2998,2999,57,2933
U. of Akron,Akron,2006,82,12,12,,,,,,2.2,2005,124,200800,"University of Akron (Akron, OH)",687764,,,20417,,236801,159669,630361,1924695,.084,.083,.07,.7929999999999999,.192,143457,12036,4087990,1867,913281,,,1867,913281,2825778,11953,5090043,142740,4974187,45515,2234752,616924,11772755,21341440,21341440,,,,{Item not applicable},,,,,,,{Item not applicable},,,,,,,,,,,,,,,University of Akron Main Campus,Akron,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,.083899707,3086,3086,96,2975
U. of Akron,Akron,2007,79,12,12,,,,,,2.2,2006,124,200800,"University of Akron (Akron, OH)",615743,,,5267,,,218665,150462,1266731,.072,.07,.058,.7929999999999999,.221,149273,10816,5576803,1730,1700510,,,1730,1700510,9819260,11978,5468248,215049,5006528,551275,4585935,1226343,13082883,25226405,25226405,,,,{Item not applicable},,,,,,,{Item not applicable},,,,,,,,,,,,,,,University of Akron Main Campus,Akron,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,.072457843,3763,3763,92,3657
U. of Akron,Akron,2008,82,12,13,,,,,,2.0999999,2007,124,200800,"University of Akron (Akron, OH)",433683,,,20661,,234530,206943,229373,1163189,.054,.054,.054,.858,.158,138659,7457,5155882,1790,1638081,,,1790,1638081,13917032,15881,4538105,244980,3911631,543510,9738536,1311770,16860457,32625841,32625841,,,,{Item not applicable},,,,,,,{Item not applicable},,,,,,,,,,,,,,,University of Akron Main Campus,Akron,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,.053779416,4102,4109,145,3963
,Akron,,,,,,,,,,,2008,124,200800,"University of Akron (Akron, OH)",524954,,,16888,,250552,212720,,1292263,.084,.083,.072,.852,.074,142519,12000,3046698,1708,1451187,,,1708,1451187,20038096,15675,11236544,221479,8568091,577708,7401009,1346933,19740816,41036101,41036101,,,,{Item not applicable},,,,,,,{Item not applicable},,,,,,,,,,,,,,,University of Akron Main Campus,Akron,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,.084199302,4129,4149,154,3993
,Akron,,,,,,,,,,,2009,124,200800,"University of Akron (Akron, OH)",761820,,,9510,,314388,538303,65779,1718118,.077,.077,.067,.848,.062,145115,11160,2737631,2958,1726409,,,2958,1726409,32785576,15040,4858526,282248,4546073,438876,3672274,1603149,12742022,44025846,44025846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.07690452,,,,
U. of Alabama at Tuscaloosa,Alabama,1990,80,9,,,,,,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,,,,,
U. of Alabama at Tuscaloosa,Alabama,1991,75,36,,,,,840-1080,,,1990,51,100751,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,,,,.9745638826625085,,112871,44510,7388712,,,,,,,3706482,,551251,,,,,,,,14340299,,3706482,551251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.39434397,,,,
,Alabama,,,,,,,,,,,1991,51,100751,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,,,,.9268556422337221,,129470,45740,12784396,,,,,,,3269627,,710982,,,,,,,,20157943,,3269627,710982,,,,,,,,,,,,,,,,,,,,,,,THE UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,.35328647,,,,
U. of Alabama at Tuscaloosa,Alabama,1993,93,,33,,,,20-25,,,1992,51,100751,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,,,,.8863636363636364,,132000,40852,9859658,,,,,,,3560909,,381385,,,,,,,,21302922,,3560909,381385,,,,,,,,,,,,,,,,,,,,,,,THE UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,.30948484,,2453,892,1561
University of Alabama at Tuscaloosa,Alabama,1994,79,,29,,,120,,23,,1993,51,100751,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,,,,.8873645558784439,,133173,37153,9368776,,,,,,,6430542,,1341679,,,,,,,,24666187,,6430542,1341679,,,,,,,,,,,,,,,,,,,,,,,THE UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,.27898297,,,,
,Alabama,,,,,,,,,,,1995,51,100751,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,,,,.9583184894905593,,140350,37395,12253000,,,,,,,4992000,,1289000,,,,,,,,25709000,,4992000,1289000,,,,,,,,,,,,,,,,,,,,,,,THE UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),11,1,1,.26644105,,,,
Univ of Alabama,Alabama,1997,77,21,29,,,,,,,1996,51,100751,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,,,,1,,149409,36008,21135000,,,,,,,3500000,,1205000,,,,,,,,30916000,,3500000,1205000,,,,,,,,,,,,,,,,,,,,,,,THE UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),11,1,1,.24100289,,2066,682,1384
Univ of Alabama,Alabama,1998,81,22,34,,,,21-27,,2.5999999,1997,51,100751,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,,,,1,,150212,36364,20031000,,,,,,,8027000,,1001000,,,,,,,,33115000,,8027000,1001000,,,,,,,,,,,,,,,,,,,,,,,THE UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),11,1,1,.24208452,,,,
University of Alabama,Alabama,1999,94,28,32,,,,,,2.7,1998,51,100751,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,,,,1,,130172,35501,23150000,,,,,,,10147000,,3434000,,,,,,,,42979000,,10147000,3434000,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),12,1,1,.27272379,,2616,675,1941
University of Alabama,Alabama,2000,89,26,24,,,,20-26,,,1999,51,100751,"University of Alabama (Tuscaloosa, AL)",746873,,2375,5700,123388,117578,4887910,653902,8475940,.264,,.264,1,,132015,34813,12566900,9982,5863720,12,,9994,,8564460,14763,4332010,8122,2921360,221070,5136400,6434610,19797900,,30700200,66933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.2637049,,,,
U. of Alabama,Alabama,2001,86,28,25,,,,,,3,2000,51,100751,"University of Alabama (Tuscaloosa, AL)",921294,,125,5750,99171,102444,5910550,389256,9163350,.17,,.166,1,,226365,38460,15082600,13230,7618100,70,,13300,,11204300,14975,2806380,878,1469790,360746,9433690,7981370,23899300,,37687700,74320,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),13,1,1,.16990259,0,2956,742,2214
U. of Alabama,Alabama,2002,79,27,24,,,,,,3.0999999,2001,51,100751,"University of Alabama (Tuscaloosa, AL)",939598,,1050,450,157197,145464,561223,5393003,8719049,.209,.248,.209,1,,130170,27191,13048842,784,1829697,16,,,,15544968,15204,2276632,73182,1180485,338543,14679445,1829697,32142118,,40070711,76132,,,Fall 2001,3435,4429,2683,3567,1055,1349,Fall 2001,765,32,2182,90,490,600,490,610,21,26,21,27,19,26,UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),14,1,1,.20888838,,2420,621,1799
U. of Alabama,Alabama,2003,85,27,23,,43,,,,3,2002,51,100751,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fall 2001,3301,4021,2751,3445,1179,1455,Fall 2001,833,31,2366,89,490,620,490,620,21,26,21,28,19,26,UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),13,1,1,,2630,2654,626,2028
University of Alabama,Alabama,2004,87,24,37,,45,,,,3.0999999,2003,51,100751,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fall 2001,3672,4626,3147,4047,1342,1710,Fall 2001,1036,34,2740,89,,,,,21,26,21,28,19,26,UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,,3054,3077,799,2278
University of Alabama,Alabama,2005,77,24,21,,43,,,,3,2004,51,100751,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,.186,,,1,.38,141161,26200,,,,,,,,12216597,18653,2799344,,,,,,28887571,41196466,43253778,,,,Fall 2001,4033,5073,3023,3998,1470,1876,Fall 2001,422,13,2927,87,490,600,500,600,21,26,21,28,19,26,THE UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,.18560368,3350,3367,926,2441
University of Alabama,Alabama,2006,,,,,45,,,,3.0999999,2005,51,100751,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,.19,,,1,.321,139568,26474,,,,,,,,17564902,19960,3583555,,,,,,34924172,53539854,53743685,,,,Fall 2001,4543,5929,3349,4387,1643,2066,Fall 2001,1292,34,3223,86,500,630,500,630,20,26,21,28,19,26,The University of Alabama,Tuscaloosa,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,.18968531,3729,3735,1060,2592
University of Alabama*,Alabama,2007,70,39,27,,42,,,,3,2006,51,100751,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,.147,,,.6609999999999999,.42,211361,31047,,,,,,,,15075344,19148,4750419,,,,,,32508793,57750502,57759735,,,,Fall 2001,5466,7047,3775,4991,1947,2412,Fall 2001,1619,37,3694,84,500,630,500,630,21,27,21,28,19,26,The University of Alabama,Tuscaloosa,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,.14689086,4349,4378,1480,2898
University of Alabama*,Alabama,2008,64,38,30,,42,,,,2.9000001,2007,51,100751,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,.137,,,.6809999999999999,.436,213866,29210,,,,,,,,17692664,20419,4780269,,,,,,31727468,67764053,69297617,,,,Fall 2001,6185,8128,3908,5232,2017,2476,Fall 2001,1593,35,3898,86,490,610,500,620,21,27,21,28,20,26,The University of Alabama,Tuscaloosa,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,.13658085,4517,4538,1498,3040
University of Alabama*,Alabama,2009,60,42,30,,41,,,,2.9000001,2008,51,100751,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,.136,,,.6990000000000001,.406,216706,29515,,,,,,,,17335418,18815,6046606,,,,,,37940774,73750114,74387570,,,,Fall 2001,8160,10340,4782,6390,2255,2785,Fall 2001,1720,34,4439,87,490,600,490,610,21,27,21,28,19,26,The University of Alabama,Tuscaloosa,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,.13619836,5101,5116,1895,3221
,Alabama,,,,,,,,,,,2009,51,100751,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,.135,,,.6940000000000001,.406,218427,29471,,,,,,,,17782892,19073,6675812,,,,,,41792921,75394662,75614662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.1349238,,,,
U. of Alabama at Birmingham,Alabama-Birmingham,1990,65,,,,,,,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,,,,,
U. of Alabama at Birmingham,Alabama-Birmingham,1991,83,,,,,,,,,1990,146,100663,"University of Alabama at Birmingham (Birmingham, AL)",,,,,,,,,,,,,.5096017989691748,,50251,6559,613390,,,,,,,3461273,,5458261,,,,,,,,16454701,,3461273,5458261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.13052477,,,,
,Alabama-Birmingham,,,,,,,,,,,1991,146,100663,"University of Alabama at Birmingham (Birmingham, AL)",,,,,,,,,,,,,.636370328113211,,54341,7715,742113,,,,,,,2542481,,4474348,,,,,,,,15083544,,2542481,4474348,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,.14197384,,,,
U. of Alabama at Birmingham,Alabama-Birmingham,1993,95,,16,,,,,,,1992,146,100663,"University of Alabama at Birmingham (Birmingham, AL)",,,,,,,,,,,,,.940738492665655,,49425,8422,722554,,,,,,,3182723,,6845486,,,,,,,,25375645,,3182723,6845486,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,.17039959,,1134,46,1088
University of Alabama at Birmingham,Alabama-Birmingham,1994,70,24,16,,,107,,21,,1993,146,100663,"University of Alabama at Birmingham (Birmingham, AL)",,,,,,,,,,,,,.9228070844374964,,52453,7983,628588,,,,,,,5057936,,5600360,,,,,,,,20754101,,5057936,5600360,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,.1521934,,,,
U. of Alabama- Birmingham,Alabama-Birmingham,1996,76,,11,,,,19-24,,,1995,146,100663,"University of Alabama at Birmingham (Birmingham, AL)",,,,,,,,,,,,,.8208773229610422,,64788,9509,972000,,,,,,,4328000,,8502000,,,,,,,,23889000,,4328000,8502000,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),18,2,1,.14677101,,,,
Univ of Alabama-Birmingham,Alabama-Birmingham,1997,88,,15,,,,,,,1996,146,100663,"University of Alabama at Birmingham (Birmingham, AL)",,,,,,,,,,,,,.9039496412436886,,60208,8987,883000,,,,,,,3444000,,9526000,,,,,,,,25156000,,3444000,9526000,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),20,2,1,.14926589,,1131,93,1038
Univ of Alabama-Birmingham,Alabama-Birmingham,1998,90,,15,,,,19-24,,2.8,1997,146,100663,"University of Alabama at Birmingham (Birmingham, AL)",,,,,,,,,,,,,.8965506258559734,,62794,9955,1115000,,,,,,,7144000,,12207000,,,,,,,,33336000,,7144000,12207000,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),20,3,1,.15853426,,,,
U of Alabama-Birmingham,Alabama-Birmingham,1999,87,20,12,,,,,,2.8,1998,146,100663,"University of Alabama at Birmingham (Birmingham, AL)",,,,,,,,,,,,,1,,64745,5150,1086000,,,,,,,7308000,,13464000,,,,,,,,55138000,,7308000,13464000,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),22,3,1,.079542823,,1175,82,1093
University of Alabama-Birmingham,Alabama-Birmingham,2000,89,24,9,,,,19-24,,,1999,146,100663,"University of Alabama at Birmingham (Birmingham, AL)",153425,,9153,2225,,65157,143183,303401,744282,.095,.08,.091,1,,60372,5707,1702250,779,1265430,7,,786,,6580810,,13252700,145525,10597800,388737,5990140,1265430,28579400,,38094600,65605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.094530575,,,,
U. of Alabama-Birmingham,Alabama-Birmingham,2001,90,15,7,,,,,,2.9000001,2000,146,100663,"University of Alabama at Birmingham (Birmingham, AL)",275548,,28895,3393,,15175,123498,476827,1003150,.108,.076,.104,1,,61767,6644,1695220,625,724027,7,,632,,13817100,39795,17918100,112158,13106300,236899,11987900,724027,39255700,,56863700,77813,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),24,3,1,.10756553,0,1314,129,1185
U. of Alabama-Birmingham,Alabama-Birmingham,2002,91,17,7,,,,,,2.8,2001,146,100663,"University of Alabama at Birmingham (Birmingham, AL)",231438,,10435,6080,,26983,129368,386902,885074,.062,.053,.055,1,,62971,3920,1286745,597,822929,6,,,,8934493,42800,21645074,89672,17557744,272535,7490571,822929,42360134,,54358485,83696,,,Fall 2001,1181,1991,1066,1820,459,765,Fall 2001,88,7,1148,88,,,,,19,25,19,25,17,24,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),25,4,1,.062250879,,,,
U. of Alabama- Birmingham,Alabama-Birmingham,2003,91,17,6,,,,,,2.8,2002,146,100663,"University of Alabama at Birmingham (Birmingham, AL)",317720,,8483,4952,,28137,121284,350965,931779,.065,.049,.06,1,,80150,5204,1998434,698,1009252,8,,,,9999975,40433,20139313,321909,16397530,331783,8279755,1187863,40095093,,51495509,88841,,,Fall 2001,1387,2145,1246,1974,581,822,Fall 2001,111,7,1275,86,,,,,19,25,19,25,17,24,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),25,3,1,.064928256,1445,1471,134,1337
U. of Alabama-Birmingham,Alabama-Birmingham,2004,81,19,5,,,,,,2.8,2003,146,100663,"University of Alabama at Birmingham (Birmingham, AL)",346215,,11277,3750,,33539,213308,550105,1266323,.078,.067,.072,1,.038,72330,5661,1933883,,,,,,,9300997,42564,19904927,205827,16088362,465299,7237770,1529198,37600159,50899761,51704442,101840,,,Fall 2001,1802,2928,1408,2399,573,1046,Fall 2001,141,8,1501,88,,,,,19,24,18,25,17,23,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,.078266278,1677,1708,169,1539
U. of Alabama-Birmingham,Alabama-Birmingham,2005,86,22,7,,,,,,2.8,2004,146,100663,"University of Alabama at Birmingham (Birmingham, AL)",426929,,12548,3125,,70200,269026,458609,1329635,.084,.074,.078,1,.041,74640,6292,2449866,,,,,,,12606269,43559,22791529,881870,16774605,1015985,10317840,3046265,44050699,60396927,62314233,87072,,,Fall 2001,1782,2536,1484,2226,567,976,Fall 2001,142,9,1413,87,480,620,480,640,19,25,19,23,18,24,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,.084297962,1597,1628,154,1474
U. of Alabama-Birmingham,Alabama-Birmingham,2006,88,23,8,,,,,,2.9000001,2005,146,100663,"University of Alabama at Birmingham (Birmingham, AL)",523985,,13859,3487,,39970,536376,530246,1787613,.088,.072,.075,1,.044,77198,6808,2747081,,,,,,,15376870,47697,24579213,613559,20652484,779933,13675630,2926780,50675186,62259114,62516630,111626,,,Fall 2001,1774,2481,1554,2177,628,905,Fall 2001,166,11,1376,87,500,620,500,640,20,26,20,27,18,24,University of Alabama at Birmingham,Birmingham,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,.088188812,1554,1587,157,1430
U. of Alabama-Birmingham,Alabama-Birmingham,2007,88,25,10,,,,,,2.8,2006,146,100663,"University of Alabama at Birmingham (Birmingham, AL)",527969,,33974,3165,,102478,418936,585494,1773735,.107,.119,.093,1,.04,87737,9379,2992262,,,,,,,17213928,50687,27254381,604271,20167786,687194,13648399,2869537,56847103,75277227,75584742,100628,,,Fall 2001,1674,2547,1489,2216,590,897,Fall 2001,150,10,1326,87,500,640,490,650,21,26,21,27,18,25,University of Alabama at Birmingham,Birmingham,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,.10689903,1510,1531,154,1377
